,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Noise Power,Noise,Difference Temperature
5547,5548,M20407,M,302.3,311.7,1540,28.9,149,0,No Failure,4660.66,1800.66,9.399999999999977
5548,5549,L52728,L,302.3,311.8,1605,35.2,152,0,No Failure,5916.25,3056.25,9.5
5549,5550,H34963,H,302.3,311.9,1374,52.4,154,0,No Failure,7539.57,4679.57,9.599999999999966
5550,5551,M20410,M,302.3,311.9,1508,42.3,159,0,No Failure,6679.91,3819.91,9.599999999999966
5551,5552,H34965,H,302.4,311.9,1366,47.3,162,0,No Failure,6766.13,3906.13,9.5
5552,5553,H34966,H,302.5,312.0,1579,35.7,167,0,No Failure,5903.08,3043.08,9.5
5553,5554,L52733,L,302.5,311.9,1306,59.7,172,0,Random Failures,8164.81,5304.81,9.399999999999977
5554,5555,M20414,M,302.5,312.0,1521,40.2,174,0,No Failure,6403.01,3543.01,9.5
5555,5556,L52735,L,302.5,312.0,1411,44.2,177,0,No Failure,6530.97,3670.97,9.5
5556,5557,H34970,H,302.5,312.0,1357,42.0,179,0,No Failure,5968.4,3108.4,9.5
5557,5558,M20417,M,302.5,312.0,1436,43.5,184,0,No Failure,6541.42,3681.42,9.5
5558,5559,L52738,L,302.5,311.9,1553,40.1,187,0,No Failure,6521.45,3661.45,9.399999999999977
5559,5560,M20419,M,302.5,312.0,1451,43.2,189,0,No Failure,6564.17,3704.17,9.5
5560,5561,L52740,L,302.4,311.9,1541,37.9,192,0,No Failure,6116.04,3256.04,9.5
5561,5562,M20421,M,302.3,311.7,1341,46.3,194,0,No Failure,6501.87,3641.87,9.399999999999977
5562,5563,L52742,L,302.3,311.7,1648,32.1,197,0,No Failure,5539.76,2679.76,9.399999999999977
5563,5564,M20423,M,302.3,311.7,1640,31.5,199,0,No Failure,5409.82,2549.82,9.399999999999977
5564,5565,L52744,L,302.4,311.8,1416,46.1,202,0,No Failure,6835.85,3975.85,9.400000000000034
5565,5566,L52745,L,302.4,311.9,1671,29.9,204,0,No Failure,5232.1,2372.1,9.5
5566,5567,L52746,L,302.4,312.0,1457,45.5,206,0,No Failure,6942.24,4082.24,9.600000000000023
5567,5568,M20427,M,302.5,312.0,1445,54.8,0,0,No Failure,8292.34,5432.34,9.5
5568,5569,L52748,L,302.5,312.1,1534,38.6,3,0,No Failure,6200.71,3340.71,9.600000000000023
5569,5570,L52749,L,302.4,312.0,1508,36.9,5,0,No Failure,5827.15,2967.15,9.600000000000023
5570,5571,M20430,M,302.4,312.1,1492,47.7,7,0,No Failure,7452.74,4592.74,9.700000000000045
5571,5572,L52751,L,302.4,312.0,1562,37.9,10,0,No Failure,6199.39,3339.39,9.600000000000023
5572,5573,L52752,L,302.4,312.0,1545,36.4,12,0,No Failure,5889.23,3029.23,9.600000000000023
5573,5574,L52753,L,302.5,312.2,1738,25.3,14,0,No Failure,4604.67,1744.67,9.699999999999989
5574,5575,L52754,L,302.4,312.0,1305,49.1,16,0,No Failure,6709.97,3849.97,9.600000000000023
5575,5576,H34989,H,302.4,312.0,1477,39.7,18,0,No Failure,6140.44,3280.44,9.600000000000023
5576,5577,H34990,H,302.4,312.0,1457,43.4,23,0,No Failure,6621.83,3761.83,9.600000000000023
5577,5578,L52757,L,302.4,312.1,1455,40.4,28,0,No Failure,6155.64,3295.64,9.700000000000045
5578,5579,L52758,L,302.5,312.2,1574,38.7,30,0,No Failure,6378.88,3518.88,9.699999999999989
5579,5580,L52759,L,302.6,312.2,1695,27.1,32,0,No Failure,4810.25,1950.25,9.599999999999966
5580,5581,M20440,M,302.6,312.2,1458,38.8,34,0,No Failure,5924.04,3064.04,9.599999999999966
5581,5582,M20441,M,302.5,312.1,1454,47.6,37,0,No Failure,7247.7,4387.7,9.600000000000023
5582,5583,L52762,L,302.5,312.0,2052,18.9,40,0,No Failure,4061.33,1201.33,9.5
5583,5584,L52763,L,302.5,312.0,1673,29.9,42,0,No Failure,5238.36,2378.36,9.5
5584,5585,L52764,L,302.4,311.9,1578,29.9,44,0,No Failure,4940.91,2080.91,9.5
5585,5586,M20445,M,302.5,312.0,1642,29.1,46,0,No Failure,5003.74,2143.74,9.5
5586,5587,M20446,M,302.4,311.8,1557,31.5,49,0,No Failure,5136.03,2276.03,9.400000000000034
5587,5588,L52767,L,302.5,311.9,1481,42.9,52,0,No Failure,6653.36,3793.36,9.399999999999977
5588,5589,M20448,M,302.5,311.8,1566,37.6,54,0,No Failure,6166.07,3306.07,9.300000000000011
5589,5590,M20449,M,302.5,311.9,1298,57.5,57,0,No Failure,7815.76,4955.76,9.399999999999977
5590,5591,M20450,M,302.5,311.9,1340,59.4,60,0,No Failure,8335.27,5475.27,9.399999999999977
5591,5592,L52771,L,302.5,312.0,1574,33.8,63,0,No Failure,5571.22,2711.22,9.5
5592,5593,L52772,L,302.5,311.9,1437,46.7,65,0,No Failure,7027.52,4167.52,9.399999999999977
5593,5594,L52773,L,302.6,311.9,1354,48.0,67,0,No Failure,6805.95,3945.95,9.299999999999955
5594,5595,L52774,L,302.6,311.9,1598,35.5,69,0,No Failure,5940.65,3080.65,9.299999999999955
5595,5596,M20455,M,302.7,312.0,1944,21.4,71,0,No Failure,4356.51,1496.51,9.300000000000011
5596,5597,M20456,M,302.7,312.0,1538,36.7,74,0,No Failure,5910.86,3050.86,9.300000000000011
5597,5598,L52777,L,302.7,312.0,1501,37.0,77,0,No Failure,5815.82,2955.82,9.300000000000011
5598,5599,L52778,L,302.8,312.1,1441,52.1,79,0,No Failure,7861.95,5001.95,9.300000000000011
5599,5600,M20459,M,302.7,312.0,1652,31.0,81,0,No Failure,5362.91,2502.91,9.300000000000011
5600,5601,L52780,L,302.8,312.1,1487,36.6,84,0,No Failure,5699.29,2839.29,9.300000000000011
5601,5602,L52781,L,302.9,312.2,1605,33.9,86,0,No Failure,5697.75,2837.75,9.300000000000011
5602,5603,L52782,L,302.9,312.1,1334,54.7,88,0,No Failure,7641.38,4781.38,9.200000000000045
5603,5604,L52783,L,302.9,312.2,1340,57.8,90,0,No Failure,8110.75,5250.75,9.300000000000011
5604,5605,L52784,L,302.9,312.2,1513,37.8,92,0,No Failure,5989.07,3129.07,9.300000000000011
5605,5606,L52785,L,302.9,312.2,1510,41.4,94,0,No Failure,6546.45,3686.45,9.300000000000011
5606,5607,L52786,L,302.9,312.2,1729,23.6,96,0,No Failure,4273.03,1413.03,9.300000000000011
5607,5608,M20467,M,302.9,312.2,1745,25.5,98,0,No Failure,4659.77,1799.77,9.300000000000011
5608,5609,M20468,M,303.1,312.3,1623,31.6,101,0,No Failure,5370.74,2510.74,9.199999999999989
5609,5610,M20469,M,303.1,312.4,1378,50.1,104,0,No Failure,7229.62,4369.62,9.299999999999955
5610,5611,L52790,L,303.1,312.4,1407,41.2,107,0,No Failure,6070.44,3210.44,9.299999999999955
5611,5612,M20471,M,303.0,312.3,1674,29.5,109,0,No Failure,5171.38,2311.38,9.300000000000011
5612,5613,L52792,L,303.0,312.3,1486,42.4,112,0,No Failure,6598.01,3738.01,9.300000000000011
5613,5614,M20473,M,303.0,312.3,1483,38.8,114,0,No Failure,6025.62,3165.62,9.300000000000011
5614,5615,H35028,H,303.0,312.2,1624,28.8,117,0,No Failure,4897.87,2037.87,9.199999999999989
5615,5616,M20475,M,303.0,312.2,1257,71.3,122,1,Power Failure,9385.41,6525.41,9.199999999999989
5616,5617,L52796,L,303.0,312.3,1480,41.4,125,0,No Failure,6416.39,3556.39,9.300000000000011
5617,5618,L52797,L,303.1,312.4,1404,61.5,127,1,Power Failure,9042.13,6182.13,9.299999999999955
5618,5619,M20478,M,303.0,312.4,1645,29.6,129,0,No Failure,5099.01,2239.01,9.399999999999977
5619,5620,L52799,L,303.0,312.3,1932,21.9,132,0,No Failure,4430.78,1570.78,9.300000000000011
5620,5621,L52800,L,303.0,312.3,1533,38.5,134,0,No Failure,6180.61,3320.61,9.300000000000011
5621,5622,M20481,M,302.9,312.2,1292,54.4,136,0,No Failure,7360.21,4500.21,9.300000000000011
5622,5623,L52802,L,302.9,312.2,1571,40.6,139,0,No Failure,6679.3,3819.3,9.300000000000011
5623,5624,L52803,L,302.9,312.3,1578,36.3,141,0,No Failure,5998.49,3138.49,9.400000000000034
5624,5625,M20484,M,302.8,312.2,1469,36.9,143,0,No Failure,5676.45,2816.45,9.399999999999977
5625,5626,L52805,L,302.7,312.1,1728,24.4,146,0,No Failure,4415.32,1555.32,9.400000000000034
5626,5627,H35040,H,302.7,312.1,1603,32.5,148,0,No Failure,5455.64,2595.64,9.400000000000034
5627,5628,L52807,L,302.7,312.1,1597,39.8,153,0,No Failure,6656.05,3796.05,9.400000000000034
5628,5629,L52808,L,302.7,312.1,1688,32.0,155,0,No Failure,5656.54,2796.54,9.400000000000034
5629,5630,L52809,L,302.7,312.2,1405,51.4,157,0,No Failure,7562.55,4702.55,9.5
5630,5631,M20490,M,302.8,312.2,1615,32.9,159,0,No Failure,5564.13,2704.13,9.399999999999977
5631,5632,L52811,L,302.8,312.2,1515,36.8,162,0,No Failure,5838.34,2978.34,9.399999999999977
5632,5633,L52812,L,302.7,312.2,1376,52.8,164,0,No Failure,7608.18,4748.18,9.5
5633,5634,L52813,L,302.7,312.2,1447,47.5,166,0,No Failure,7197.65,4337.65,9.5
5634,5635,M20494,M,302.6,312.2,1353,56.5,168,0,No Failure,8005.25,5145.25,9.599999999999966
5635,5636,L52815,L,302.6,312.1,1502,47.3,171,0,No Failure,7439.77,4579.77,9.5
5636,5637,L52816,L,302.6,312.0,1447,45.5,173,0,No Failure,6894.59,4034.59,9.399999999999977
5637,5638,M20497,M,302.5,312.0,1487,46.1,175,0,No Failure,7178.61,4318.61,9.5
5638,5639,L52818,L,302.6,312.1,1519,38.1,178,0,No Failure,6060.54,3200.54,9.5
5639,5640,L52819,L,302.6,312.1,1668,28.7,180,0,Random Failures,5013.1,2153.1,9.5
5640,5641,L52820,L,302.6,312.1,1420,51.6,182,0,No Failure,7673.03,4813.03,9.5
5641,5642,L52821,L,302.6,312.1,1473,37.3,184,0,No Failure,5753.61,2893.61,9.5
5642,5643,L52822,L,302.5,312.0,1495,38.8,186,0,No Failure,6074.37,3214.37,9.5
5643,5644,L52823,L,302.5,312.0,1574,42.0,188,0,No Failure,6922.81,4062.81,9.5
5644,5645,L52824,L,302.5,312.0,1383,51.3,190,0,No Failure,7429.65,4569.65,9.5
5645,5646,M20505,M,302.5,312.0,1591,29.4,192,0,No Failure,4898.31,2038.31,9.5
5646,5647,M20506,M,302.4,311.8,1644,37.2,195,0,No Failure,6404.33,3544.33,9.400000000000034
5647,5648,H35061,H,302.5,311.8,2370,14.7,198,0,No Failure,3648.33,788.33,9.300000000000011
5648,5649,L52828,L,302.5,311.9,1401,44.9,203,0,No Failure,6587.39,3727.39,9.399999999999977
5649,5650,M20509,M,302.5,311.9,1414,51.6,205,0,No Failure,7640.6,4780.6,9.399999999999977
5650,5651,L52830,L,302.5,312.0,1456,46.3,208,0,No Failure,7059.45,4199.45,9.5
5651,5652,M20511,M,302.5,312.0,1447,45.7,210,0,No Failure,6924.9,4064.9,9.5
5652,5653,L52832,L,302.4,311.8,1727,26.5,213,0,No Failure,4792.55,1932.55,9.400000000000034
5653,5654,L52833,L,302.4,311.7,1495,36.8,215,0,No Failure,5761.26,2901.26,9.300000000000011
5654,5655,L52834,L,302.3,311.6,1544,34.3,0,0,No Failure,5545.87,2685.87,9.300000000000011
5655,5656,L52835,L,302.3,311.5,1387,47.3,2,0,No Failure,6870.15,4010.15,9.199999999999989
5656,5657,M20516,M,302.3,311.5,1316,47.2,4,0,No Failure,6504.69,3644.69,9.199999999999989
5657,5658,L52837,L,302.3,311.5,1794,26.1,7,0,No Failure,4903.33,2043.33,9.199999999999989
5658,5659,M20518,M,302.2,311.4,1372,55.1,9,0,No Failure,7916.52,5056.52,9.199999999999989
5659,5660,M20519,M,302.3,311.5,1674,30.0,12,0,No Failure,5259.03,2399.03,9.199999999999989
5660,5661,L52840,L,302.2,311.4,1477,41.7,15,0,No Failure,6449.78,3589.78,9.199999999999989
5661,5662,L52841,L,302.2,311.4,1397,53.0,17,0,No Failure,7753.56,4893.56,9.199999999999989
5662,5663,L52842,L,302.2,311.5,1616,34.0,19,0,No Failure,5753.72,2893.72,9.300000000000011
5663,5664,M20523,M,302.3,311.5,1530,42.3,21,0,No Failure,6777.36,3917.36,9.199999999999989
5664,5665,M20524,M,302.2,311.4,1539,35.1,24,0,No Failure,5656.85,2796.85,9.199999999999989
5665,5666,L52845,L,302.3,311.4,1845,21.9,27,0,No Failure,4231.25,1371.25,9.099999999999966
5666,5667,L52846,L,302.2,311.4,1430,43.1,29,0,No Failure,6454.19,3594.19,9.199999999999989
5667,5668,L52847,L,302.2,311.4,2080,19.2,31,0,No Failure,4182.09,1322.09,9.199999999999989
5668,5669,M20528,M,302.2,311.4,1432,45.3,33,0,No Failure,6793.13,3933.13,9.199999999999989
5669,5670,M20529,M,302.2,311.5,1479,39.5,36,0,No Failure,6117.78,3257.78,9.300000000000011
5670,5671,L52850,L,302.2,311.5,1424,45.2,39,0,No Failure,6740.27,3880.27,9.300000000000011
5671,5672,H35085,H,302.2,311.6,1534,37.2,41,0,No Failure,5975.81,3115.81,9.400000000000034
5672,5673,H35086,H,302.1,311.6,1701,26.2,46,0,No Failure,4666.96,1806.96,9.5
5673,5674,L52853,L,302.2,311.6,1462,50.0,51,0,No Failure,7655.01,4795.01,9.400000000000034
5674,5675,M20534,M,302.2,311.7,1393,42.5,53,0,No Failure,6199.67,3339.67,9.5
5675,5676,M20535,M,302.3,311.7,1453,42.5,56,0,No Failure,6466.71,3606.71,9.399999999999977
5676,5677,L52856,L,302.3,311.8,1565,37.8,59,0,No Failure,6194.91,3334.91,9.5
5677,5678,L52857,L,302.3,311.8,1281,51.7,61,0,No Failure,6935.35,4075.35,9.5
5678,5679,M20538,M,302.2,311.7,1584,36.2,63,0,No Failure,6004.71,3144.71,9.5
5679,5680,M20539,M,302.2,311.7,1466,49.0,66,0,No Failure,7522.44,4662.44,9.5
5680,5681,M20540,M,302.2,311.6,1386,50.5,69,0,No Failure,7329.65,4469.65,9.400000000000034
5681,5682,L52861,L,302.2,311.6,1383,44.3,72,0,No Failure,6415.85,3555.85,9.400000000000034
5682,5683,H35096,H,302.3,311.6,1441,53.9,74,0,No Failure,8133.57,5273.57,9.300000000000011
5683,5684,M20543,M,302.2,311.6,1592,37.7,79,0,No Failure,6285.11,3425.11,9.400000000000034
5684,5685,H35098,H,302.2,311.6,1594,36.8,82,0,No Failure,6142.78,3282.78,9.400000000000034
5685,5686,L52865,L,302.2,311.5,1482,45.6,87,0,No Failure,7076.88,4216.88,9.300000000000011
5686,5687,L52866,L,302.2,311.6,1658,31.4,89,0,No Failure,5451.84,2591.84,9.400000000000034
5687,5688,L52867,L,302.3,311.7,2170,18.2,91,0,No Failure,4135.8,1275.8,9.399999999999977
5688,5689,M20548,M,302.3,311.7,1423,44.6,93,0,No Failure,6646.12,3786.12,9.399999999999977
5689,5690,L52869,L,302.4,311.8,1543,31.1,96,0,No Failure,5025.22,2165.22,9.400000000000034
5690,5691,L52870,L,302.3,311.8,1435,44.8,98,0,No Failure,6732.22,3872.22,9.5
5691,5692,L52871,L,302.4,311.8,1320,56.4,100,0,No Failure,7796.18,4936.18,9.400000000000034
5692,5693,M20552,M,302.4,311.9,1313,55.7,102,0,No Failure,7658.59,4798.59,9.5
5693,5694,M20553,M,302.4,311.8,1453,42.1,105,0,No Failure,6405.84,3545.84,9.400000000000034
5694,5695,L52874,L,302.4,311.8,1508,45.7,108,0,No Failure,7216.82,4356.82,9.400000000000034
5695,5696,L52875,L,302.4,311.8,1451,42.0,110,0,No Failure,6381.83,3521.83,9.400000000000034
5696,5697,H35110,H,302.5,311.9,1595,34.6,112,0,No Failure,5779.17,2919.17,9.399999999999977
5697,5698,L52877,L,302.5,311.9,1354,49.4,117,0,No Failure,7004.45,4144.45,9.399999999999977
5698,5699,L52878,L,302.5,311.9,1265,59.8,119,0,No Failure,7921.74,5061.74,9.399999999999977
5699,5700,L52879,L,302.4,311.9,1867,25.9,121,0,No Failure,5063.76,2203.76,9.5
5700,5701,L52880,L,302.5,311.9,1497,41.6,123,0,No Failure,6521.44,3661.44,9.399999999999977
5701,5702,M20561,M,302.5,311.9,1347,54.3,125,0,No Failure,7659.42,4799.42,9.399999999999977
5702,5703,L52882,L,302.3,311.7,1544,43.2,128,0,No Failure,6984.89,4124.89,9.399999999999977
5703,5704,H35117,H,302.3,311.7,1456,45.4,130,0,No Failure,6922.23,4062.23,9.399999999999977
5704,5705,L52884,L,302.5,311.8,1335,52.7,135,0,No Failure,7367.51,4507.51,9.300000000000011
5705,5706,L52885,L,302.4,311.9,1452,43.1,137,0,No Failure,6553.49,3693.49,9.5
5706,5707,L52886,L,302.4,311.9,1290,70.0,139,1,Power Failure,9456.19,6596.19,9.5
5707,5708,L52887,L,302.4,311.8,1448,43.4,141,0,No Failure,6580.92,3720.92,9.400000000000034
5708,5709,L52888,L,302.3,311.7,1611,38.6,143,0,No Failure,6511.96,3651.96,9.399999999999977
5709,5710,L52889,L,302.2,311.7,1556,38.6,145,0,No Failure,6289.64,3429.64,9.5
5710,5711,H35124,H,302.2,311.7,1413,46.5,147,0,No Failure,6880.56,4020.56,9.5
5711,5712,L52891,L,302.2,311.6,1545,35.9,152,0,No Failure,5808.33,2948.33,9.400000000000034
5712,5713,L52892,L,302.2,311.7,1330,54.6,154,0,No Failure,7604.54,4744.54,9.5
5713,5714,L52893,L,302.2,311.9,1596,38.0,156,0,No Failure,6351.04,3491.04,9.699999999999989
5714,5715,L52894,L,302.2,311.8,1618,36.0,158,0,No Failure,6099.72,3239.72,9.600000000000023
5715,5716,H35129,H,302.2,311.9,1597,35.8,160,0,No Failure,5987.1,3127.1,9.699999999999989
5716,5717,L52896,L,302.3,312.0,1354,52.2,165,0,No Failure,7401.47,4541.47,9.699999999999989
5717,5718,L52897,L,302.3,312.0,1746,28.1,167,0,No Failure,5137.82,2277.82,9.699999999999989
5718,5719,L52898,L,302.4,312.0,1621,32.5,169,0,No Failure,5516.9,2656.9,9.600000000000023
5719,5720,L52899,L,302.3,312.0,1398,43.3,171,0,No Failure,6339.04,3479.04,9.699999999999989
5720,5721,L52900,L,302.3,311.9,1434,51.9,173,0,No Failure,7793.73,4933.73,9.599999999999966
5721,5722,M20581,M,302.3,311.8,1443,43.4,175,0,No Failure,6558.2,3698.2,9.5
5722,5723,L52902,L,302.2,311.7,1488,44.6,178,0,No Failure,6949.71,4089.71,9.5
5723,5724,M20583,M,302.3,311.8,1475,48.0,180,0,No Failure,7414.16,4554.16,9.5
5724,5725,L52904,L,302.3,311.8,1433,50.3,183,0,No Failure,7548.19,4688.19,9.5
5725,5726,M20585,M,302.3,311.8,1557,34.1,185,0,No Failure,5559.96,2699.96,9.5
5726,5727,M20586,M,302.4,311.9,1398,50.1,188,0,No Failure,7334.55,4474.55,9.5
5727,5728,M20587,M,302.3,311.8,1559,34.4,191,0,No Failure,5616.08,2756.08,9.5
5728,5729,M20588,M,302.4,311.9,1422,46.4,194,0,No Failure,6909.49,4049.49,9.5
5729,5730,M20589,M,302.3,311.8,1463,35.7,197,0,No Failure,5469.42,2609.42,9.5
5730,5731,L52910,L,302.3,311.7,1793,25.3,200,0,No Failure,4750.39,1890.39,9.399999999999977
5731,5732,L52911,L,302.2,311.6,1872,20.4,202,0,No Failure,3999.12,1139.12,9.400000000000034
5732,5733,L52912,L,302.2,311.7,1412,44.5,204,0,No Failure,6579.96,3719.96,9.5
5733,5734,L52913,L,302.3,311.8,1487,43.2,206,0,No Failure,6727.03,3867.03,9.5
5734,5735,L52914,L,302.3,311.8,1369,56.2,208,1,Overstrain Failure,8056.91,5196.91,9.5
5735,5736,L52915,L,302.4,311.8,1673,30.1,210,0,No Failure,5273.4,2413.4,9.400000000000034
5736,5737,M20596,M,302.4,311.9,1439,36.6,212,0,No Failure,5515.32,2655.32,9.5
5737,5738,L52917,L,302.3,311.8,1574,42.8,215,0,No Failure,7054.68,4194.68,9.5
5738,5739,L52918,L,302.3,311.7,1281,48.8,0,0,No Failure,6546.33,3686.33,9.399999999999977
5739,5740,M20599,M,302.2,311.7,1653,31.4,2,0,No Failure,5435.4,2575.4,9.5
5740,5741,M20600,M,302.3,311.7,1535,38.3,5,0,No Failure,6156.53,3296.53,9.399999999999977
5741,5742,M20601,M,302.3,311.7,1483,40.5,8,0,No Failure,6289.63,3429.63,9.399999999999977
5742,5743,L52922,L,302.3,311.7,1414,47.0,11,0,No Failure,6959.47,4099.47,9.399999999999977
5743,5744,M20603,M,302.2,311.6,1379,42.9,13,0,No Failure,6195.13,3335.13,9.400000000000034
5744,5745,H35158,H,302.2,311.5,1482,42.6,16,0,No Failure,6611.29,3751.29,9.300000000000011
5745,5746,L52925,L,302.1,311.5,1987,20.1,21,0,No Failure,4182.37,1322.37,9.399999999999977
5746,5747,M20606,M,302.1,311.5,1635,31.6,23,0,No Failure,5410.45,2550.45,9.399999999999977
5747,5748,L52927,L,302.1,311.5,1533,39.4,26,0,No Failure,6325.09,3465.09,9.399999999999977
5748,5749,M20608,M,302.2,311.7,1576,34.0,28,0,No Failure,5611.3,2751.3,9.5
5749,5750,H35163,H,302.2,311.8,1330,62.4,31,0,No Failure,8690.9,5830.9,9.600000000000023
5750,5751,L52930,L,302.2,311.8,1981,21.8,36,0,No Failure,4522.41,1662.41,9.600000000000023
5751,5752,H35165,H,302.3,311.8,1475,42.8,38,0,No Failure,6610.96,3750.96,9.5
5752,5753,H35166,H,302.3,311.8,1804,25.0,43,0,No Failure,4722.86,1862.86,9.5
5753,5754,L52933,L,302.2,311.6,1416,54.1,48,0,No Failure,8022.12,5162.12,9.400000000000034
5754,5755,L52934,L,302.1,311.5,1727,27.7,50,0,No Failure,5009.57,2149.57,9.399999999999977
5755,5756,L52935,L,302.1,311.4,1391,49.2,52,0,No Failure,7166.73,4306.73,9.299999999999955
5756,5757,M20616,M,302.0,311.5,1366,52.3,54,0,No Failure,7481.37,4621.37,9.5
5757,5758,L52937,L,301.9,311.3,1366,55.6,57,0,No Failure,7953.42,5093.42,9.400000000000034
5758,5759,L52938,L,301.9,311.3,1501,40.8,59,0,No Failure,6413.12,3553.12,9.400000000000034
5759,5760,L52939,L,301.8,311.3,1551,35.8,61,0,No Failure,5814.65,2954.65,9.5
5760,5761,M20620,M,301.9,311.3,1522,35.6,63,0,No Failure,5674.05,2814.05,9.400000000000034
5761,5762,L52941,L,301.9,311.2,1369,49.8,66,0,No Failure,7139.39,4279.39,9.300000000000011
5762,5763,L52942,L,301.8,311.2,1334,52.3,68,0,No Failure,7306.11,4446.11,9.399999999999977
5763,5764,H35177,H,301.8,311.2,1451,39.4,70,0,No Failure,5986.77,3126.77,9.399999999999977
5764,5765,L52944,L,301.7,311.2,1589,37.9,75,0,No Failure,6306.55,3446.55,9.5
5765,5766,L52945,L,301.7,311.3,1708,30.5,77,0,No Failure,5455.27,2595.27,9.600000000000023
5766,5767,M20626,M,301.7,311.2,1413,42.6,79,0,No Failure,6303.48,3443.48,9.5
5767,5768,M20627,M,301.6,311.2,1415,46.5,82,0,No Failure,6890.3,4030.3,9.599999999999966
5768,5769,L52948,L,301.7,311.3,1421,45.9,85,0,No Failure,6830.23,3970.23,9.600000000000023
5769,5770,L52949,L,301.7,311.3,1348,51.0,87,0,No Failure,7199.27,4339.27,9.600000000000023
5770,5771,L52950,L,301.6,311.2,1408,42.9,89,0,No Failure,6325.41,3465.41,9.599999999999966
5771,5772,L52951,L,301.6,311.2,1525,43.7,91,0,No Failure,6978.79,4118.79,9.599999999999966
5772,5773,L52952,L,301.6,311.3,1706,29.9,93,0,No Failure,5341.69,2481.69,9.699999999999989
5773,5774,H35187,H,301.6,311.2,1395,46.8,95,0,No Failure,6836.73,3976.73,9.599999999999966
5774,5775,L52954,L,301.5,311.1,1602,34.3,100,0,No Failure,5754.2,2894.2,9.600000000000023
5775,5776,L52955,L,301.6,311.1,1907,21.5,102,0,No Failure,4293.56,1433.56,9.5
5776,5777,L52956,L,301.6,311.1,1325,49.2,104,0,No Failure,6826.68,3966.68,9.5
5777,5778,L52957,L,301.6,311.1,1408,44.4,106,0,No Failure,6546.58,3686.58,9.5
5778,5779,M20638,M,301.7,311.1,1489,41.4,108,0,No Failure,6455.41,3595.41,9.400000000000034
5779,5780,L52959,L,301.6,311.1,1680,29.2,111,0,No Failure,5137.13,2277.13,9.5
5780,5781,L52960,L,301.7,311.2,1517,42.4,113,0,No Failure,6735.66,3875.66,9.5
5781,5782,M20641,M,301.7,311.1,1618,36.7,115,0,No Failure,6218.32,3358.32,9.400000000000034
5782,5783,L52962,L,301.7,311.1,1455,39.8,118,0,No Failure,6064.22,3204.22,9.400000000000034
5783,5784,H35197,H,301.8,311.1,1543,36.4,120,0,No Failure,5881.61,3021.61,9.300000000000011
5784,5785,M20644,M,301.8,311.1,1399,41.8,125,0,No Failure,6123.82,3263.82,9.300000000000011
5785,5786,L52965,L,301.7,311.1,1469,37.2,128,0,No Failure,5722.6,2862.6,9.400000000000034
5786,5787,L52966,L,301.7,311.2,1521,36.7,130,0,No Failure,5845.53,2985.53,9.5
5787,5788,L52967,L,301.7,311.3,1584,38.8,132,0,No Failure,6435.99,3575.99,9.600000000000023
5788,5789,L52968,L,301.8,311.5,1443,43.3,134,0,No Failure,6543.09,3683.09,9.699999999999989
5789,5790,M20649,M,301.8,311.5,1416,49.0,136,0,No Failure,7265.88,4405.88,9.699999999999989
5790,5791,M20650,M,301.7,311.2,1563,34.5,139,0,No Failure,5646.86,2786.86,9.5
5791,5792,M20651,M,301.8,311.3,1542,40.1,142,0,No Failure,6475.26,3615.26,9.5
5792,5793,M20652,M,301.8,311.3,1624,31.6,145,0,No Failure,5374.05,2514.05,9.5
5793,5794,L52973,L,301.8,311.3,1471,44.2,148,0,No Failure,6808.69,3948.69,9.5
5794,5795,M20654,M,301.9,311.5,1492,40.8,150,0,No Failure,6374.67,3514.67,9.600000000000023
5795,5796,M20655,M,301.9,311.4,1465,39.9,153,0,No Failure,6121.24,3261.24,9.5
5796,5797,L52976,L,301.7,311.1,1399,55.1,156,0,No Failure,8072.31,5212.31,9.400000000000034
5797,5798,L52977,L,301.6,311.0,1431,42.6,158,0,No Failure,6383.78,3523.78,9.399999999999977
5798,5799,L52978,L,301.5,310.9,1600,39.0,160,0,No Failure,6534.51,3674.51,9.399999999999977
5799,5800,L52979,L,301.5,310.8,1593,34.5,162,0,No Failure,5755.24,2895.24,9.300000000000011
5800,5801,L52980,L,301.5,310.9,1469,44.7,164,0,No Failure,6876.35,4016.35,9.399999999999977
5801,5802,L52981,L,301.5,310.8,1413,44.6,166,0,No Failure,6599.42,3739.42,9.300000000000011
5802,5803,L52982,L,301.4,310.8,1490,38.0,168,0,No Failure,5929.23,3069.23,9.400000000000034
5803,5804,L52983,L,301.5,310.9,1671,31.1,170,0,No Failure,5442.09,2582.09,9.399999999999977
5804,5805,L52984,L,301.5,310.9,1365,46.5,172,0,No Failure,6646.82,3786.82,9.399999999999977
5805,5806,M20665,M,301.4,310.9,1557,39.3,174,0,No Failure,6407.81,3547.81,9.5
5806,5807,L52986,L,301.4,310.9,1440,45.4,177,0,No Failure,6846.16,3986.16,9.5
5807,5808,M20667,M,301.4,310.9,1489,38.9,179,0,No Failure,6065.59,3205.59,9.5
5808,5809,L52988,L,301.4,311.0,1733,25.7,182,0,No Failure,4664.02,1804.02,9.600000000000023
5809,5810,H35223,H,301.3,311.0,1580,36.6,184,0,No Failure,6055.73,3195.73,9.699999999999989
